City,Date,Month,Predicted Temperature (°C),Predicted Units Consumed (kWh)
Bhopal,2025-01-01,January,26.54,465.15
Bhopal,2025-01-02,January,22.11,433.93
Bhopal,2025-01-03,January,21.89,428.35
Bhopal,2025-01-04,January,24.08,440.08
Bhopal,2025-01-05,January,25.25,355.58
Bhopal,2025-01-06,January,25.61,390.31
Bhopal,2025-01-07,January,24.46,385.52
Bhopal,2025-01-08,January,23.93,458.26
Bhopal,2025-01-09,January,20.24,455.5
Bhopal,2025-01-10,January,23.04,447.3
Bhopal,2025-01-11,January,27.94,379.79
Bhopal,2025-01-12,January,20.08,485.3
Bhopal,2025-01-13,January,20.31,388.22
Bhopal,2025-01-14,January,22.13,497.14
Bhopal,2025-01-15,January,23.91,392.09
Bhopal,2025-01-16,January,23.7,451.54
Bhopal,2025-01-17,January,21.8,483.09
Bhopal,2025-01-18,January,22.43,440.36
Bhopal,2025-01-19,January,25.29,418.79
Bhopal,2025-01-20,January,24.45,435.27
Bhopal,2025-01-21,January,25.68,421.26
Bhopal,2025-01-22,January,20.71,366.07
Bhopal,2025-01-23,January,21.52,395.59
Bhopal,2025-01-24,January,20.92,493.84
Bhopal,2025-01-25,January,25.05,357.5
Bhopal,2025-01-26,January,27.96,368.17
Bhopal,2025-01-27,January,24.06,422.17
Bhopal,2025-01-28,January,21.9,478.79
Bhopal,2025-01-29,January,24.46,490.61
Bhopal,2025-01-30,January,27.39,447.01
Bhopal,2025-01-31,January,23.95,404.29
Bhopal,2025-02-01,February,25.3,366.62
Bhopal,2025-02-02,February,20.5,439.75
Bhopal,2025-02-03,February,24.58,393.18
Bhopal,2025-02-04,February,20.56,438.47
Bhopal,2025-02-05,February,27.18,466.63
Bhopal,2025-02-06,February,21.5,395.72
Bhopal,2025-02-07,February,26.82,425.29
Bhopal,2025-02-08,February,22.71,472.39
Bhopal,2025-02-09,February,26.34,352.86
Bhopal,2025-02-10,February,21.54,438.12
Bhopal,2025-02-11,February,26.14,485.23
Bhopal,2025-02-12,February,21.12,418.79
Bhopal,2025-02-13,February,22.28,483.19
Bhopal,2025-02-14,February,20.16,477.15
Bhopal,2025-02-15,February,20.35,418.23
Bhopal,2025-02-16,February,21.47,407.74
Bhopal,2025-02-17,February,25.35,380.83
Bhopal,2025-02-18,February,27.95,354.64
Bhopal,2025-02-19,February,23.84,405.2
Bhopal,2025-02-20,February,22.25,449.77
Bhopal,2025-02-21,February,27.46,415.5
Bhopal,2025-02-22,February,24.58,494.21
Bhopal,2025-02-23,February,23.15,350.54
Bhopal,2025-02-24,February,21.71,469.8
Bhopal,2025-02-25,February,23.13,445.04
Bhopal,2025-02-26,February,26.15,442.46
Bhopal,2025-02-27,February,21.2,385.06
Bhopal,2025-02-28,February,20.31,415.96
Bhopal,2025-03-01,March,33.58,587.7
Bhopal,2025-03-02,March,33.33,577.96
Bhopal,2025-03-03,March,30.86,563.89
Bhopal,2025-03-04,March,31.03,590.34
Bhopal,2025-03-05,March,28.96,481.91
Bhopal,2025-03-06,March,31.32,546.4
Bhopal,2025-03-07,March,32.97,453.15
Bhopal,2025-03-08,March,31.3,589.51
Bhopal,2025-03-09,March,33.86,564.88
Bhopal,2025-03-10,March,33.33,472.32
Bhopal,2025-03-11,March,34.47,493.71
Bhopal,2025-03-12,March,30.76,510.96
Bhopal,2025-03-13,March,31.69,488.58
Bhopal,2025-03-14,March,33.8,501.88
Bhopal,2025-03-15,March,29.73,480.1
Bhopal,2025-03-16,March,30.37,550.67
Bhopal,2025-03-17,March,33.13,574.42
Bhopal,2025-03-18,March,33.85,459.18
Bhopal,2025-03-19,March,34.32,516.06
Bhopal,2025-03-20,March,30.76,590.41
Bhopal,2025-03-21,March,34.37,573.16
Bhopal,2025-03-22,March,31.49,582.22
Bhopal,2025-03-23,March,32.21,466.04
Bhopal,2025-03-24,March,34.93,583.09
Bhopal,2025-03-25,March,31.77,580.62
Bhopal,2025-03-26,March,30.9,503.4
Bhopal,2025-03-27,March,30.62,556.35
Bhopal,2025-03-28,March,28.54,460.56
Bhopal,2025-03-29,March,30.3,526.09
Bhopal,2025-03-30,March,29.62,469.42
Bhopal,2025-03-31,March,32.17,479.75
Bhopal,2025-04-01,April,37.34,738.5
Bhopal,2025-04-02,April,42.21,728.28
Bhopal,2025-04-03,April,39.45,737.96
Bhopal,2025-04-04,April,40.15,682.01
Bhopal,2025-04-05,April,39.69,649.98
Bhopal,2025-04-06,April,42.99,727.82
Bhopal,2025-04-07,April,42.08,587.63
Bhopal,2025-04-08,April,35.44,695.53
Bhopal,2025-04-09,April,40.87,660.14
Bhopal,2025-04-10,April,35.01,594.72
Bhopal,2025-04-11,April,37.76,607.47
Bhopal,2025-04-12,April,40.71,563.89
Bhopal,2025-04-13,April,36.83,695.09
Bhopal,2025-04-14,April,41.84,668.65
Bhopal,2025-04-15,April,37.6,625.16
Bhopal,2025-04-16,April,36.22,621.74
Bhopal,2025-04-17,April,42.46,575.56
Bhopal,2025-04-18,April,37.56,642.22
Bhopal,2025-04-19,April,38.31,596.43
Bhopal,2025-04-20,April,40.28,723.6
Bhopal,2025-04-21,April,37.7,678.72
Bhopal,2025-04-22,April,40.84,678.89
Bhopal,2025-04-23,April,39.8,685.16
Bhopal,2025-04-24,April,37.82,625.73
Bhopal,2025-04-25,April,43.64,603.16
Bhopal,2025-04-26,April,43.94,627.61
Bhopal,2025-04-27,April,43.27,602.45
Bhopal,2025-04-28,April,41.52,638.17
Bhopal,2025-04-29,April,35.99,634.68
Bhopal,2025-04-30,April,41.6,701.16
Bhopal,2025-05-01,May,37.12,730.0
Bhopal,2025-05-02,May,39.26,736.52
Bhopal,2025-05-03,May,37.31,672.08
Bhopal,2025-05-04,May,38.48,633.45
Bhopal,2025-05-05,May,42.01,595.48
Bhopal,2025-05-06,May,34.01,723.58
Bhopal,2025-05-07,May,38.42,556.51
Bhopal,2025-05-08,May,43.87,653.19
Bhopal,2025-05-09,May,41.18,582.7
Bhopal,2025-05-10,May,38.03,692.16
Bhopal,2025-05-11,May,37.91,617.63
Bhopal,2025-05-12,May,39.07,555.38
Bhopal,2025-05-13,May,41.51,685.11
Bhopal,2025-05-14,May,36.07,605.98
Bhopal,2025-05-15,May,41.98,602.82
Bhopal,2025-05-16,May,42.02,708.93
Bhopal,2025-05-17,May,42.26,600.74
Bhopal,2025-05-18,May,43.53,692.54
Bhopal,2025-05-19,May,34.75,685.68
Bhopal,2025-05-20,May,43.57,690.07
Bhopal,2025-05-21,May,41.2,622.34
Bhopal,2025-05-22,May,39.65,552.25
Bhopal,2025-05-23,May,39.69,722.48
Bhopal,2025-05-24,May,37.95,673.26
Bhopal,2025-05-25,May,42.64,747.82
Bhopal,2025-05-26,May,38.88,650.1
Bhopal,2025-05-27,May,34.77,606.3
Bhopal,2025-05-28,May,42.46,609.4
Bhopal,2025-05-29,May,41.46,603.51
