City,Year,Month,Date,Temperature (°C),Total_Consumption_kWh
Bhopal,2019,January,01-01-2019,17.6,2105
Bhopal,2019,January,02-01-2019,18.4,1934
Bhopal,2019,January,03-01-2019,18.7,3888
Bhopal,2019,January,04-01-2019,18.5,1987
Bhopal,2019,January,05-01-2019,18.9,2045
Bhopal,2019,January,06-01-2019,21,2513
Bhopal,2019,January,07-01-2019,19.8,3381
Bhopal,2019,January,08-01-2019,20.2,2564
Bhopal,2019,January,09-01-2019,19.8,2817
Bhopal,2019,January,10-01-2019,20.9,2778
Bhopal,2019,January,11-01-2019,20.7,2988
Bhopal,2019,January,12-01-2019,20.1,2253
Bhopal,2019,January,13-01-2019,17.3,3316
Bhopal,2019,January,14-01-2019,17.6,2322
Bhopal,2019,January,15-01-2019,17.8,3641
Bhopal,2019,January,16-01-2019,17,3684
Bhopal,2019,January,17-01-2019,16.3,2932
Bhopal,2019,January,18-01-2019,15.6,2272
Bhopal,2019,January,19-01-2019,15.7,3059
Bhopal,2019,January,20-01-2019,15,3090
Bhopal,2019,January,21-01-2019,15.3,3087
Bhopal,2019,January,22-01-2019,14.9,2542
Bhopal,2019,January,23-01-2019,13.4,1934
Bhopal,2019,January,24-01-2019,13,3330
Bhopal,2019,January,25-01-2019,14.3,2432
Bhopal,2019,January,26-01-2019,15.1,1184
Bhopal,2019,January,27-01-2019,14,2667
Bhopal,2019,January,28-01-2019,15.6,2997
Bhopal,2019,January,29-01-2019,16.3,3385
Bhopal,2019,January,30-01-2019,15.4,2615
Bhopal,2019,January,31-01-2019,17.2,2803
Bhopal,2019,February,01-02-2019,21.5,2144
Bhopal,2019,February,02-02-2019,21.9,2668
Bhopal,2019,February,03-02-2019,21.9,3323
Bhopal,2019,February,04-02-2019,22.7,2709
Bhopal,2019,February,05-02-2019,22.6,2089
Bhopal,2019,February,06-02-2019,21.9,2256
Bhopal,2019,February,07-02-2019,22.3,3420
Bhopal,2019,February,08-02-2019,23.3,2936
Bhopal,2019,February,09-02-2019,21.4,2859
Bhopal,2019,February,10-02-2019,23.3,2859
Bhopal,2019,February,11-02-2019,22.5,3290
Bhopal,2019,February,12-02-2019,21.3,2082
Bhopal,2019,February,13-02-2019,21.3,3462
Bhopal,2019,February,14-02-2019,20,3619
Bhopal,2019,February,15-02-2019,18.6,3833
Bhopal,2019,February,16-02-2019,18.4,2125
Bhopal,2019,February,17-02-2019,19.2,2465
Bhopal,2019,February,18-02-2019,19.5,2439
Bhopal,2019,February,19-02-2019,17.4,3206
Bhopal,2019,February,20-02-2019,17.3,2662
